# Constructed from biom file
#ASV ID	GZ_Bl_1	GZ_Bl_2	GZ_Bl_3	SX_Bl_1	SX_Bl_2	SX_Bl_3	GZ_Rs_1	GZ_Rs_2	GZ_Rs_3	SX_Rs_1	SX_Rs_2	SX_Rs_3
ASV_584	0.0	0.0	0.0	0.0	0.0	0.0	122.0	73.0	121.0	132.0	41.0	32.0
ASV_561	0.0	0.0	0.0	33.0	30.0	0.0	30.0	17.0	47.0	130.0	16.0	216.0
ASV_549	0.0	0.0	0.0	12.0	0.0	5.0	122.0	69.0	74.0	161.0	75.0	0.0
ASV_569	0.0	0.0	0.0	3.0	0.0	3.0	156.0	51.0	130.0	105.0	33.0	36.0
ASV_535	28.0	0.0	38.0	103.0	284.0	59.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_29	131.0	0.0	111.0	172.0	0.0	97.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_573	17.0	0.0	37.0	193.0	98.0	166.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_530	0.0	0.0	0.0	8.0	0.0	0.0	88.0	41.0	87.0	134.0	49.0	98.0
ASV_607	0.0	0.0	0.0	14.0	0.0	23.0	53.0	30.0	42.0	255.0	21.0	67.0
ASV_35	92.0	8.0	55.0	27.0	56.0	71.0	13.0	34.0	61.0	34.0	51.0	0.0
ASV_423	106.0	57.0	139.0	86.0	72.0	39.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_609	0.0	0.0	0.0	0.0	0.0	0.0	115.0	41.0	74.0	106.0	77.0	85.0
ASV_285	49.0	0.0	39.0	55.0	72.0	36.0	71.0	45.0	49.0	37.0	44.0	0.0
ASV_269	24.0	0.0	22.0	56.0	40.0	24.0	86.0	41.0	71.0	92.0	40.0	0.0
ASV_623	0.0	0.0	0.0	0.0	0.0	0.0	157.0	42.0	119.0	86.0	28.0	63.0
ASV_79	0.0	0.0	0.0	0.0	0.0	7.0	14.0	0.0	14.0	378.0	0.0	80.0
ASV_450	37.0	16.0	67.0	160.0	152.0	61.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_626	6.0	0.0	0.0	0.0	0.0	0.0	105.0	71.0	111.0	118.0	18.0	64.0
ASV_296	9.0	0.0	158.0	148.0	16.0	41.0	43.0	34.0	26.0	13.0	4.0	0.0
ASV_629	0.0	0.0	0.0	0.0	0.0	0.0	124.0	52.0	110.0	88.0	33.0	85.0
ASV_92	0.0	0.0	0.0	0.0	0.0	0.0	64.0	0.0	0.0	425.0	0.0	0.0
ASV_234	0.0	0.0	0.0	23.0	0.0	0.0	60.0	21.0	40.0	133.0	51.0	160.0
ASV_273	80.0	0.0	348.0	60.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
